KEY	English	Czech	German	Spanish	Finnish	French	Italian	Japanese	Korean	Dutch	Norwegian	Portuguese	Russian	Swedish	Turkish	Simplified Chinese	Traditional Chinese	Ukrainian	Danish	Thai	Polish	Romanian	Indonesia	Slovakian
r75_idle_mode_hint	Switch to Sleep Mode after Being Idle for:	Přepnout do režimu spánku po době nečinnosti:	Wechseln in den Energiesparmodus nach einer Leerlaufzeit von:	Cambiar al modo de suspensión después de haber estado inactivo durante:	Kytke lepotilaan, kun ollut käyttämättömänä:	Basculer en mode veille après un délai d'inactivité de :	Attiva sospensione dopo inattività di:	スリープモードに移行するまでの時間:	절전 모드로 전환될 때까지의 유휴 시간:	Schakel naar de slaapmodus na een inactiviteit van:	Bytt til hvilemodus etter inaktivitet i:	Mudar para modo de suspensão depois de inativo durante:	Переход в спящий режим при простое:	Växla till viloläge efter inaktivt läge i:	Uyku Modundan Önce Boşta Kalma Süresi:	当空闲以下时间后切换为睡眠模式：	當空閒以下時間後切換為睡眠模式：	Перехід у режим сну після бездіяльності протягом:	Gå i dvale, når enheden har været inaktiv i:	เปลี่ยนเป็นโหมดสลีปหลังจากไม่ได้ใช้งานเป็นเวลา:	Przełącz do trybu uśpienia po czasie bezczynności wynoszącym:	Comutare la Modul Repaus după timpul de inactivitate:	Beralih ke Mode Tidur setelah Idle selama:	
system_bluetooth	System Bluetooth	Bluetooth systému	System-Bluetooth	Bluetooth del sistema	Järjestelmän Bluetooth	Bluetooth du système	Bluetooth del sistema	Bluetooth設定を開く	시스템 Bluetooth	Systeem Bluetooth	System-Bluetooth	Bluetooth do sistema	Bluetooth системы	System Bluetooth	Sistem Bluetooth	系统蓝牙	系統藍牙	Bluetooth сиатеми	System Bluetooth	บลูทูธระบบ	Funkcja Bluetooth systemu	Bluetooth sistem	Bluetooth Sistem	Systém Bluetooth
tap_3_times	Tap 3 times	Klepněte 3krát	Dreimal antippen	Pulsar 3 veces	Napauta kolme kertaa	Appuyez 3 fois	Tocca 3 volte	3回タップ	3번 탭하기	Tik 3 keer	Trykk 3 ganger	Tocar 3 vezes	Нажать 3 раза	Tryck 3 gånger	3 kez dokunun	短按三次	短按三次	Торкніться тричі	Tryk 3 gange	แตะ 3 ครั้ง	Stuknij 3 razy	Atingeți de 3 ori	Ketuk 3 kali	
tap_once	Tap once	Klepněte jednou	Einmal antippen	Pulsar una vez	Napauta kerran	Appuyez une fois	Tocca una volta	1回タップ	한 번 탭하기	Eenmaal tikken	Trykk én gang	Tocar uma vez	Нажать	Tryck en gång	Bir kez dokun	短按一次	短按一次	Торкніться один раз	Tryk én gang	แตะหนึ่งครั้ง	Stuknij raz	Atingeți o dată	Ketuk sekali	
tap_and_hold_for_1_sec	Tap once then hold for 1 sec	Jednou klepněte a poté 1 sekundu držte	Einmal antippen und dann 1 Sekunde lang gedrückt halten	Toque una vez y luego mantenga presionado durante 1 segundo	Napauta kerran ja pidä sitten 1 sekunnin ajan	Appuyer une fois et maintenir pendant 1 s	Toccare qui e tenere premuto per 1 secondo	1回タップしてから1秒間長押し	1초 이상 꾹 탭하십시오	Eén keer tikken en dan 1 sec vasthouden	Trykk én gang og hold i 1 sek	Toque uma vez e mantenha premido durante 1 segundo	Нажать и удерживать в течение секунды	Tryck en gång och håll sedan ned i 1 sek	Bir kez dokunun ve ardından 1 saniye basılı tutun	短按一次再长按一秒	短按一次再長按一秒	Натисніть один раз і утримуйте 1 секунду	Tryk én gang og hold derefter nede i 1 sek.	แตะหนึ่งครั้งแล้วค้างไว้ 1 วินาที	Stuknij raz, a następnie przytrzymaj przez 1 s	Atingeți o dată, apoi țineți apăsat timp de 1 secundă	Ketuk sekali lalu tahan selama 1 detik	Ťuknite raz a podržte na 1 sekundu
tap_twice	Tap twice	Klepněte dvakrát	Zweimal antippen	Pulsar dos veces	Napauta kahdesti	Appuyez deux fois	Tocca due volte	2回タップ	두 번 탭하기	Twee keer tikken	Trykk to ganger	Tocar duas vezes	Нажать дважды	Tryck två gånger	İki kez dokunun	短按两次	短按兩次	Натисніть двічі	Tryk to gange	แตะสองครั้ง	Stuknij dwukrotnie	Atingeți de două ori	Ketuk dua kali	
eq_profile_techno	Techno	Techno	Techno	Techno	Tekno	Techno	Techno	テクノ	테크노	Techno	Techno	Techno	Техно	Techno	Tekno	电子音乐	電子音樂	Техно	Techno	เทคโน	Techno	Techno	Tekno	
gesture_fixed	The following gestures cannot be customized	Následující gesta nelze přizpůsobit	Die folgenden Gesten können nicht angepasst werden.	Los siguientes gestos no se pueden personalizar	Seuraavia eleitä ei voi mukauttaa	Les gestes suivants ne peuvent pas être personnalisés	I seguenti gesti non possono essere personalizzati	次のジェスチャーはカスタマイズできません	다음 제스처는 커스터마이징할 수 없습니다	De volgende bewegingen kunnen niet worden aangepast	Følgende bevegelser kan ikke justeres	Não é possível personalizar os gestos seguintes	Следующие жесты не могут быть настроены	Följande gester kan inte anpassas	Aşağıdaki hareketler özelleştirilemez	下列手势功能无法自定义	下列手勢功能無法自訂	Наступні жести неможливо змінити	Følgende fingerbevægelser kan ikke tilpasses	ไม่สามารถปรับแต่งท่าทางต่อไปนี้ได้	Poniższych gestów nie można dostosować	Nu se pot particulariza următoarele gesturi	Gerakan berikut ini tidak dapat disesuaikan	Nasledovné gestá sa nedajú prispôsobiť
txlanguage	The One voice	Jeden hlas	Die Eine Stimme	La voz única	One voice (yksi ääni)	La voix de l'Élu	La voce unica	The One ボイス	음성만	De One voice	Den ene stemmen	A voz única	Единый голос	The One voice (Bara en röst)	Tek ses	天选语音	天選語音	Один голос	Den ene stemme	เสียงเดียว	Jeden głos	Voce unică	Satu suara	Jeden hlas
mp_explanation_link_device_title	To connect, please press “Connect” and go to the device's Bluetooth settings page to complete the connection.	Chcete-li se připojit, stiskněte tlačítko „Připojit“ a přejděte na stránku nastavení Bluetooth zařízení a dokončete připojení.	Um eine Verbindung herzustellen, drücken Sie bitte auf "Verbinden" und wechseln Sie zur Bluetooth-Einstellungenseite des Geräts, damit Sie die Verbindung fertigstellen können.	Para realizar la conexión, presione "Conectar" y vaya a la página de configuración Bluetooth del dispositivo para completar la conexión.	Paina yhteyden muodostamiseksi "Yhdistä" ja siirry laitteen Bluetooth-asetussivulle yhteyden muodostamiseksi.	Pour vous connecter, appuyez sur "Connecter" et accédez à la page des paramètres Bluetooth de l'appareil pour effectuer la connexion.	Per connettersi, premere "Connetti" e andare alla pagina delle impostazioni Bluetooth del dispositivo per completare la connessione.	接続するには「接続」をクリックし、デバイスのBluetooth設定ページに移動して接続を完了してください。	연결하려면 “Connect”(연결)를 눌러 장치의 블루투스 설정 페이지로 이동하여 연결을 완료하십시오.	Om te verbinden, drukt u op “Verbinden” en gaat u naar de pagina Bluetooth-instellingen van het apparaat om de verbinding te voltooien.	Koble til ved å trykke «Koble til» og gå til enhetens Bluetooth-innstillingsside for å fullføre tilkoblingen.	Para estabelecer a ligação, pressione “Ligar” e aceda à página de definições de Bluetooth do dispositivo para concluir a ligação.	Для подключения нажмите "Подключить" и перейдите на страницу настроек Bluetooth устройства для завершения подключения.	För att ansluta, tryck på “Connect” (Anslut) och gå till enhetens sida för Bluetooth-inställningar för att genomföra anslutningen.	Bağlanmak için lütfen "Bağlan" düğmesine basın ve bağlantıyı tamamlamak için cihazın Bluetooth ayarları sayfasına gidin.	如需连接，请按下 “连接”并前往设备的蓝牙设置页面完成连接。	如需連線，請按下「連線」並前往裝置的藍牙設定頁面完成連線。	Для підключення натисніть Connect (Підключити) і перейдіть на сторінку налаштувань Bluetooth пристрою, аби виконати підключення.	For at oprette forbindelsen, skal du trykke på "Forbind" og åbne enhedens Bluetooth-indstillingsside, hvor du kan forbinde enhederne.	หากต้องการเชื่อมต่อ โปรดกดปุ่ม “เชื่อมต่อ” แล้วไปที่หน้าการตั้งค่าบลูทูธของอุปกรณ์เพื่อทำการเชื่อมต่อให้เสร็จสิ้น	W celu połączenia naciśnij przycisk „Connect” (Połącz) i przejdź na stronę ustawień Bluetooth urządzenia, aby dokończyć nawiązywanie połączenia.	Pentru a vă conecta, apăsați „Conectare” și mergeți la pagina de setări Bluetooth a dispozitivului pentru a finaliza conexiunea.	Untuk menyambungkan, tekan “Sambung”, lalu buka halaman pengaturan Bluetooth perangkat untuk menyelesaikan sambungan.	
virtual_surround	Virtual Surround Sound	Virtuální prostorový zvuk	Virtual Surround Sound	Sonido envolvente virtual	Virtuaalinen surround-ääni	Son surround virtuel	Suono virtuale surround	バーチャルサラウンド	가상 서라운드 사운드	Virtueel omgevingsgeluid	Virtuell surroundlyd	Som surround virtual	Виртуальный объемный звук	Virtuellt surround-ljud	Sanal Surround Ses	虚拟环绕音效	虛擬環繞音效	Віртуальний об'ємний звук	Virtuel surroundsound	ระบบเสียงรอบทิศทางเสมือน	Wirtualny dźwięk przestrzenny	Sunet Surround Virtual	Suara Surround Virtual	
eq_profile_vocal	Vocal	Hlas	Vocal	Vocal	Laulu	Voix	Voce	ボーカル	보컬	Vocaal	Vokal	Vocal	Вокал	Röst	Vokal	人声	人聲	Вокал	Stemme	ขับร้อง	Wokal	Vocal	Vokal	
voice_assistant	Voice Assistant	Hlasový asistent	Sprachassistent	Asistente de voz	Ääniavustaja	Assistant vocal	Assistente vocale	音声アシスタント	음성 어시스턴트	Spraakassistent	Taleassistent	Assistente de voz	Голосовой помощник	Röstassistent	Ses Asistanı	语音助手	語音助理	Голосовий помічник	Stemmeassistent	Voice Assistant	Asystent głosowy	Asistent vocal	Asisten Suara	
voice_prompt_language	Voice Prompt Language	Jazyk hlasových pokynů	Sprache der Sprachansage	Idioma del mensaje de voz	Kehoteäänen kieli	Langue des instructions vocales	Lingua annuncio vocale	音声ガイド言語	음성 프롬프트 언어	Taal spraakmelding	Språk for talemelding	Idioma do comando de voz	Язык голосовых подсказок	Språk för röstavisering	Sesli Komut İstemi Dili	语音提示语言	語音提示語言	Мова голосових підказок	Sprog på stemmebeskederne	ภาษาพร้อมท์เสียง	Język komunikatów głosowych	Limbă solicitare vocală	Bahasa Perintah Suara	Jazyk hlasovej výzvy
r75_idle_mode	Idle mode	Klidový režim	Inaktivitätsmodus	Modo de inactividad	Lepotila	Mode inactif	Modalità inattiva	アイドルモード	유휴 모드	Inactieve modus	Inaktiv modus	Modo inativo	Режим ожидания	Inaktivt läge	Boşta modu	睡眠模式	睡眠模式	Режим очікування	Inaktiv tilstand	โหมดสแตนด์บาย	Tryb bezczynności	Mod inactiv	Mode siaga	Režim nečinnosti
2 mins	2 min	2 min	2 Minuten	2 min	2 min	2 min	2 min.	2 分	2분	2 min	2 min	2 min	2 мин	2 min.	2 dk	2 分钟	2 分鐘	2 хв	2 min.	2 นาที	2 min	2 min.	2 menit	2 min
3 mins	3 min	3 min	3 Minuten	3 min	3 min	3 min	3 min.	3 分	3분	3 min	3 min	3 min	3 мин	3 min.	3 dk.	3 分钟	3 分鐘	3 хв	3 min.	3 นาที	3 min	3 min.	3 menit	3 min
5 mins	5 min	5 min	5 Minuten	5 min	5 min	5 min	5 min.	5 分	5분	5 min	5 min	5 min	5 мин	5 min.	5 dk	5 分钟	5 分鐘	5 хв	5 min.	5 นาที	5 min	5 min.	5 menit	5 min
10 mins	10 min	10 min	10 Minuten	10 min	10 min	10 min	10 min.	10 分	10분	10 min	10 min	10 min	10 мин	10 min.	10 dk	10 分钟	10 分鐘	10 хв	10 min.	10 นาที	10 min	10 min.	10 menit	10 min
15 mins	15 min	15 min	15 Minuten	15 min	15 min	15 min	15 min.	15 分	15분	15 min	15 min	15 min	15 мин	15 min.	15 dk	15 分钟	15 分鐘	15 хв	15 min.	15 นาที	15 min	15 min.	15 menit	15 min
case_more_info_hint	The charging case's battery level isn't real-time. See the Power page for details.	Úroveň napětí baterie nabíjecího pouzdra se nezobrazuje v reálném čase. Podrobnosti naleznete na stránce napájení.	Der Akkustand des Ladebehälters wird nicht in Echtzeit angezeigt. Weitere Informationen finden Sie auf der Seite zu den Energieoptionen.	El nivel de batería del estuche de carga no es en tiempo real. Para obtener más información, consulta la página de energía.	Latauskotelon akun varaustaso ei ole reaaliaikainen. Katso lisätietoja Power-sivulta.	Le niveau de batterie du boîtier de charge n'est pas affiché en temps réel. Consultez la page "Alimentation" pour plus de détails.	Il livello della batteria della custodia di carica non è in tempo reale. Consultare la pagina Alimentazione per i dettagli.	充電ケースのバッテリー残量はリアルタイムではありません。詳細については、電源ページをご参照ください。	충전 케이스의 배터리 수준은 실시간이 아닙니다. 자세한 내용은 전원 페이지를 참고해 주십시오.	Het batterijniveau van de laadhoes is niet in realtime. Raadpleeg de pagina Voeding voor details.	Batterinivået til ladeetuiet oppdateres ikke i sanntid. Se Strøm-siden for mer informasjon.	O nível da bateria do estojo de carregamento não é indicado em tempo real. Para mais detalhes, consulte a página de energia.	Уровень заряда батареи в чехле для зарядки отображается не в реальном времени. Подробнее см. на странице «Питание».	Laddningsfodralets batterinivå visas inte i realtid. Se sidan Ström för mer information.	Şarj kutusunun pil seviyesi gerçek zamanlı değildir. Ayrıntılar için Güç sayfasına bakın.	充电盒非实时电量。请查看电源页面以获取详细信息。	充電盒非即時電量。請查看電源頁面以獲取詳細資訊。	Рівень акумулятора зарядного футляра не відображається в реальному часі. Див. сторінку Живлення, щоб дізнатися більше.	Opladningsetuiets batteristrøm vises ikke i realtid. Du kan finde yderligere oplysninger på siden Strøm.	ระดับแบตเตอรี่ของเคสชาร์จไม่ใช่แบบเรียลไทม์ ดูรายละเอียดในหน้าพลังงาน	Poziom baterii etui ładującego nie jest wskazywany w czasie rzeczywistym. Szczegółowe informacje można znaleźć na stronie Zasilanie.	Nivelul bateriei din caseta de încărcare nu este afișat în timp real. Pentru detalii, consultați pagina Alimentare.	Tingkat baterai casing pengisi daya tidak waktu nyata (real-time). Lihat halaman Daya untuk perinciannya.	Úroveň nabitia batérie v nabíjacom puzdre nepredstavuje reálny čas. Podrobnosti nájdete na stránke Power (Výkon).
single_earbud_alert	Please make sure both earbuds are taken out of the charging case before proceeding with device setup.	Než budete pokračovat v nastavení zařízení, zkontrolujte, zda jsou obě sluchátka vyjmuta z nabíjecího pouzdra.	Bitte stellen Sie sicher, dass beide Ohrhörer aus dem Ladebehälter genommen wurden, bevor Sie mit der Einrichtung des Geräts fortfahren.	Asegúrese de que ambos miniauriculares están fuera del estuche de carga antes de llevar a cabo la configuración del dispositivo.	Varmista, että molemmat kuulokkeet on otettu pois latauskotelosta, ennen kuin jatkat laitteen asennusta.	Assurez-vous que les deux écouteurs sont sortis du boîtier de charge avant de procéder à la configuration de l'appareil.	Assicurarsi che entrambi gli auricolari siano estratti dalla custodia di carica prima di procedere con la configurazione del dispositivo.	デバイスのセットアップを行う前に、左右両方のイヤホンを充電ケースから取り出してください。	장치 설정을 진행하기 전에 양쪽 이어버드를 모두 충전 케이스에서 꺼냈는지 확인하십시오.	Zorg dat beide earbuds uit het laadstation zijn genomen voordat u doorgaat met de apparaatinstelling.	Sørg for at begge ørepluggene er tatt ut av ladeesken før du fortsetter med enhetsoppsettet.	Retire ambos os auriculares da caixa de carregamento antes de configurar o dispositivo.	Перед настройкой устройства, убедитесь, что оба наушника извлечены из зарядного чехла.	Ta ut båda hörsnäckorna ur laddningsfodralet innan du fortsätter med inställningen av enheten.	Cihaz kurulumuna devam etmeden önce lütfen her iki kulaklığın da şarj kutusundan çıkarıldığından emin olun.	进行设备设置前，请确认是否已将双耳皆拿出充电盒。	進行裝置設定前，請確認是否已將雙耳皆拿出充電盒。							
off	off	VYP.	AUS	DESACTIVAR	POIS	Désactivé	Disabilitata	オフ	꺼짐	UIT	AV	DESATIVADO	ВЫКЛ	AV	KAPALI	关闭	關閉							
mp_connecting...	Connecting...	Probíhá připojování...	Wird verbunden...	Conectando...	Yhteyden muodostus...	Connexion en cours...	Connessione in corso…	接続中	연결하는 중...	Bezig met verbinden...	Kobler til …	A ligar...	Подключение...	Ansluter...	Bağlanıyor…	连接中	連線中							
mp_explanation_current_device_msg	This device is currently in use and cannot be edited.	Toto zařízení se právě používá a nelze jej upravovat.	Dieses Gerät wird aktuell verwendet und kann nicht bearbeitet werden.	Este dispositivo se está utilizando en este momento y no se puede editar.	Tämä laite on parhaillaan käytössä, eikä sitä voi muokata.	Cet appareil est actuellement utilisé et ne peut pas être modifié.	Questo dispositivo è attualmente in uso e non può essere modificato.	このデバイスは現在使用中のため編集できません。	이 장치는 현재 사용 중이어서 편집할 수 없습니다.	Dit apparaat is momenteel in gebruik en kan niet worden bewerkt.	Enheten er i bruk og kan ikke slettes.	Este dispositivo está a ser usado e não pode ser editado.	Это устройство сейчас используется и не может быть изменено.	Denna enhet används och kan inte ändras.	Bu cihaz şu anda kullanımdadır ve düzenlenemez.	此设备目前正在使用中，无法进行编辑。	此裝置目前正在使用中，無法進行編輯。							
mp_explanation_dongle_connected_msg	To disconnect, please unplug the dongle.	Chcete-li se odpojit, odpojte adaptér dongle.	Um die Verbindung zu trennen, ziehen Sie bitte den Dongle ab.	Para realizar la desconexión, desenchufe la llave.	Jos haluat katkaista yhteyden, irrota dongle pistorasiasta.	Pour vous déconnecter, débranchez le dongle.	Per disconnettersi, scollegare il dongle.	接続を解除するには、レシーバー（ドングル）を取り外してください。	연결을 끊으려면 동글을 빼내십시오.	Om de verbinding te verbreken, koppelt u de dongle los.	Koble fra dongelen for å koble fra.	Para desligar, retire o adaptador.	Для отключения отключите приемник.	För att koppla ifrån, dra ur donglen.	Bağlantıyı kesmek için lütfen dongle'ın fişini çekin.	如需断连，请拔除此接收器。	如需斷線，請拔除此接收器。							
mp_explanation_dongle_disconnected_msg	To connect, please plug in the dongle.	Chcete-li se připojit, zapojte adaptér dongle.	Um eine Verbindung herzustellen, stecken Sie bitte den Dongle ein.	Para realizar la conexión, enchufe la llave.	Jos haluat muodostaa yhteyden, kytke dongle.	Pour vous connecter, branchez le dongle.	Per connettersi, collegare il dongle.	接続するには、レシーバー（ドングル）を接続してください。	연결하려면 동글을 끼우십시오.	Om verbinding te maken, sluit u de dongle aan.	Koble til dongelen for å koble til.	Para estabelecer ligação, ligue o adaptador.	Для подключения подключите приемник.	För att ansluta, sätt i donglen.	Bağlanmak için lütfen donanım kilidini takın.	如需连接，请插入此接收器。	如需連線，請插入此接收器。							
upgrade_failed_msg	Ensure that you have turned off the music and verified that the battery levels of your earbuds, charging case, and smartphone are all at least 30% before attempting again.	Před dalším pokusem zkontrolujte, zda jste vypnuli hudbu a ověřte, zda je úroveň nabití baterie vašich sluchátek, nabíjecího pouzdra a smartphonu alespoň 30 %.	Bitte stellen Sie sicher, dass Sie die Musik ausgeschaltet und überprüft haben, ob der Akkustand Ihrer Ohrhörer, Ihres Ladebehälters und Ihres Smartphones mindestens 30% beträgt, bevor Sie es erneut versuchen.	Asegúrese de que ha apagado la música y ha comprobado que los niveles de batería de los miniauriculares, del estuche de carga y del smartphone son de al menos el 30 % antes de volver a intentarlo.	Varmista, että olet sammuttanut musiikin ja tarkistanut, että kuulokkeiden, latauskotelon ja älypuhelimen akun varaustaso on vähintään 30 %, ennen kuin yrität uudelleen.	Assurez-vous d'avoir coupé la musique et vérifié que les niveaux de batterie de vos écouteurs, du boîtier de charge et du smartphone sont d'au moins 30% avant de réessayer.	Assicurarsi di aver spento la musica e aver verificato che i i livelli di carica della batteria degli auricolari, della custodia di carica, e dello smartphone siano almeno del 30% prima di tentare di nuovo.	メディアの再生を停止し、イヤホン、充電ケース、スマートフォンのバッテリー残量が 30% 以上あることを確認してから、再度お試しください。	다시 시도하기 전에 음악을 끄고 이어버드, 충전 케이스 및 스마트폰의 배터리 잔량이 모두 30% 이상인지 확인하십시오.	Controleer of u de muziek hebt uitgeschakeld en of u hebt geverifieerd of de batterijniveaus van uw earbuds, laadstation en smartphone allemaal minstens 30% bedragen voordat u het opnieuw probeert.	Sørg for at du har slått av musikken, og kontroller at batterinivåene til ørepluggene, ladedekselet og smarttelefonen er minst 30 % før du prøver igjen.	Desligue a música e certifique-se de que os níveis de bateria dos seus auriculares, da caixa de carregamento e do smartphone são de pelo menos 30% antes de tentar novamente.	Перед повторной попыткой убедитесь, что воспроизведение музыки выключено, а заряд наушников, зарядного чехла и смартфона составляет не менее 30%.	Du måste kontrollera att musiken är avstängd och verifiera att batterinivån i hörsnäckorna, laddningsfodralet och smarttelefonen är minst 30 % innan du försöker igen.	Tekrar denemeden önce müziği kapattığınızdan ve kulaklıklarınızın, şarj kutunuzun ve akıllı telefonunuzun pil seviyelerinin en az %30 olduğundan emin olun.	请确认您已关闭音乐，并确认耳机、充电盒及手机电量高于 30% 后再重试。	請確認您已關閉音樂，並確認耳機、充電盒及手機電量高於 30% 後再重試。							
tone	Prompt Sound	Zvuk pokynu	Bedienerhinweis-Ton	Sonido de mensaje	Kehoteääni	Son d'invite	Suono annuncio	ガイド音	프롬프트 소리	Meldingsgeluid	Spørrelyd	Som do comando	Звуковая подсказка	Aviseringsljud	Hızlı Ses	提示音	提示音							
chinese	Chinese	Čínština	Chinesisch	Chino	Kiina	Chinois	Cinese	中国語	중국어	Chinees	Kinesisk	Chinês	Китайский	Kinesiska	Çince	中文	中文							
mp_unlink	Disconnect	Odpojit	Trennen	Desconectar	Yhteys katkaistu	Déconnecter	Disconnetti	切断	연결 끊기	Verbinding verbreken	Koble fra	Desligar	Отключить	Koppla ifrån	Bağlantıyı kes	断连	斷連							
mp_pairing_msg	The headset is in Bluetooth pairing mode. Find this headset's name in the Bluetooth list of nearby devices and initiate the pairing process.	Náhlavní souprava je v režimu párování Bluetooth. Najděte název této náhlavní soupravy v seznamu Bluetooth zařízení v okolí a spusťte proces párování.	Das Headset befindet sich im Bluetooth-Kopplungsmodus. Suchen Sie den Namen dieses Headsets in der Liste der Bluetooth-Geräte in der Nähe und starten Sie den Kopplungsvorgang.	El auricular se encuentra en el modo de emparejamiento Bluetooth. Busque el nombre de este auricular en la lista Bluetooth de dispositivos cercanos e inicie el proceso de emparejamiento.	Kuulokkeet ovat Bluetooth-pariliitostilassa. Löydä tämän kuulokkeen nimi Bluetooth-luettelon lähistöllä olevista laitteista ja käynnistä pariliitosprosessi.	Le casque est en mode appairage Bluetooth. Recherchez le nom de ce casque dans la liste des appareils Bluetooth à proximité et lancez le processus d'appairage.	Le cuffie sono in modalità di associazione Bluetooth. Trovare il nome di queste cuffie nell'elenco Bluetooth dei dispositivi nelle vicinanze e avviarre il processo di associazione.	ヘッドセットはBluetoothペアリングモードです。接続したいデバイスで、周辺にあるBluetooth接続が可能な機器一覧からこのヘッドセットを見つけてペアリングを開始してください。	헤드셋이 블루투스 페어링 모드에 있습니다. 주변에 있는 장치의 블루투스 목록에서 이 헤드셋의 이름을 찾아 페어링을 시작하십시오.	De headset is in de Bluetooth-koppelingsmodus. Zoek de naam van deze headset in de Bluetooth-lijst van apparaten in de buurt en start het koppelingsproces.	Hodesettet er i Bluetooth-paringsmodus. Finn navnet til hodesettet i listen over Bluetooth-enheter i nærheten, og start med paring.	Os auscultadores estão em modo de emparelhamento Bluetooth. Encontre o nome dos auscultadores na lista Bluetooth dos dispositivos nas proximidades e inicie o processo de emparelhamento.	Гарнитура находится в режиме сопряжения Bluetooth. Найдите имя этой гарнитуры в списке ближайших устройств Bluetooth и начните процесс сопряжения.	Headsetet är i Bluetooth-länkningsläge. Sök upp headsetets namn i Bluetooth-listan över enheter i närheten och påbörja länkningen.	Kulaklık Bluetooth eşleştirme modunda. Yakındaki cihazların Bluetooth listesinde bu kulaklığın adını bulun ve eşleştirme işlemini başlatın.	耳机已进入蓝牙配对模式。您可以在周围设备的蓝牙列表中找到此耳机名称并进行配对。	耳機已進入藍牙配對模式。您可以在周圍裝置的藍牙列表中找到此耳機名稱並進行配對。							